id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
179;344;1;Farbstudien mit Angaben zur Maltechnik;Watercolour, gouache and pencil on paper;23.9 x 31.5 cm;1913;\N;\N
180;F-34;3;Maison à la campagne (Le toit rouge);Oil on cardboard;50.5 x 69 cm;1906;\N;\N
181;F-79;23;Autoportrait;Tempera on cardboard;69.3 x 70 cm;1907;\N;47
182;F-80;23;Triomphe du ciel;Tempera on cardboard;72.5 x 70 cm;1907;\N;48
183;F-83;2;Assomption;Gouache on paper laid down on cardboard;26.3 x 26.4 cm;\N;\N;48
184;F-92;24;Composition symboliste;unknown;unknown;1908;\N;48
185;F-116;2;Bourgade;Gouache and indian ink on paper mounted on cardboard;17.5 x 17 cm;1908;\N;48
186;F-117;2;Petite ville;Gouache on cardboard;14 x 13.9 cm;1908;\N;47
187;F-118;2;Repos. Société avec chapeaux hauts de forme;Gouache, watercolour and indian ink on cardboard;23.8 x 30.2 cm;1908;\N;47
188;F-119;2;Jeux d'enfants;Gouache and tempera on cardboard;19 x 17.8 cm;1908;\N;47
189;F-157;3;Sur le boulevard;Oil on canvas;61.4 x 71 cm;\N;\N;47
190;F-158;2;Homme au chapeau pointu;Gouache and watercolour on cardboard;49 x 47 cm;1911;\N;47
191;F-172;3;Veuve;Oil, gouache and pencil on cardboard;\N;1908;\N;47
192;F-183;1;Autoportrait;Watercolour and gouache varnished on paper;Durchmesser: 25.1 cm;\N;\N;47
193;F-184;1;Autoportrait;Watercolour, gouache and tempera on paper;46.6 x 41.5 cm;1910;\N;47
194;F-187;2;Nature morte aux fruits;Gouache and watercolour on paper;52.5 x 51.8 cm;1910;\N;47
195;F-194;2;Polka argentine;Gouache on paper;117 x 70.5 cm;1911;\N;47
196;F-196;2;Polisseurs de parquet;Gouache on cardbaord;77.7 x 71 cm;1911;\N;47
197;F-198;2;Lessiveuse;Gouache on paper;98 x 105 cm;1911;\N;47
198;F-201;2;Masseur aux bains;Gouache on paper (?);80 x 90 cm\
approximate measurements;\N;\N;\N
199;F-203;2;Le Pédicure;Gouache on paper;77.7 x 103 cm;1911;\N;47
200;F-204;2;Homme avec sac;Gouache on paper;88 x 71 cm;\N;\N;47
201;F-207;2;Travail au moulin;Gouache on paper;120 x 140 cm\
or 140x120 cm;1911;\N;47
202;F-212;2;Travail dans les serres, jardiniers;Gouache on paper;70 x 106.5 cm;\N;\N;47
203;F-214;2;Jardinier;Gouache on cardboard;91 x 70 cm;1911;\N;47
204;F-215;2;Sur le boulevard;Gouache on paper;72 x 71 cm;1911;\N;48
205;F-217;2;Province;Gouache on paper;70.5 x 70.5 cm;1911;\N;47
